,membership_category,avg_transaction_value,points_in_wallet,feedback,churn_risk_score
70,No Membership,32762.67,668.23,No reason specified,1
71,Basic Membership,49293.08,653.61,Poor Website,1
72,No Membership,44190.76,641.26,Poor Website,0
73,Silver Membership,17176.96,793.28,User Friendly Website,0
74,No Membership,43905.73,612.5,Poor Website,1
75,Silver Membership,27852.76,735.58,Poor Website,0
76,Basic Membership,23857.21,576.94,Too many ads,1
77,No Membership,32171.63,680.03,Poor Customer Service,1
78,Basic Membership,8036.57,897.0963889058594,Poor Website,1
79,No Membership,19445.11,646.67,Too many ads,1
80,Premium Membership,61950.11,805.76,User Friendly Website,0
81,Silver Membership,28404.4,665.65,Poor Customer Service,1
82,Gold Membership,40201.35,1023.9164810356108,Too many ads,0
83,Silver Membership,46167.97,661.83,No reason specified,1
84,Basic Membership,38264.22,985.1444826313262,No reason specified,1
85,Premium Membership,49005.62,332.6096176459552,Poor Product Quality,0
86,Gold Membership,44688.94,0.0,Too many ads,0
87,No Membership,26539.52,628.75,Poor Customer Service,1
88,Gold Membership,39272.67,741.27,Poor Product Quality,0
89,Gold Membership,9109.29,692.59,Poor Website,1
90,Basic Membership,28467.12,0.0,Poor Customer Service,1
91,Platinum Membership,12323.61,734.28,Too many ads,0
92,No Membership,33421.39,612.62,Poor Customer Service,1
93,No Membership,30872.66,0.0,Too many ads,1
94,Silver Membership,17677.55,675.01,Too many ads,1
95,Premium Membership,36010.06,799.11,No reason specified,0
96,Silver Membership,1575.05,754.24,Poor Product Quality,0
97,Premium Membership,63992.45,1117.96710838396,Reasonable Price,0
98,Basic Membership,44205.69,629.97,Poor Website,1
99,No Membership,17695.07,0.0,Poor Website,1
100,Premium Membership,32546.63,754.19,Poor Customer Service,0
101,Gold Membership,10697.23,625.92,Poor Product Quality,1
102,Platinum Membership,24446.78,710.69,Too many ads,0
103,Basic Membership,35371.12,637.78,Poor Website,1
104,Premium Membership,27274.98,799.85,Poor Website,0
105,Platinum Membership,31267.66,705.54,Too many ads,0
106,No Membership,18187.36,649.39,No reason specified,1
107,No Membership,5778.43,599.9,No reason specified,1
108,Basic Membership,44180.61,0.0,Poor Customer Service,1
109,Silver Membership,43030.09,718.74,Poor Product Quality,1
110,Basic Membership,30875.28,686.11,Poor Website,1
111,Premium Membership,48154.43,728.78,Poor Customer Service,0
112,Gold Membership,34301.06,725.27,Poor Product Quality,0
113,Premium Membership,26452.01,377.0341154916396,Poor Website,0
114,Premium Membership,18850.69,748.84,Poor Product Quality,0
115,Gold Membership,51213.42,0.0,User Friendly Website,0
116,Basic Membership,31085.72,64.16248255997209,Poor Customer Service,1
117,Basic Membership,15239.46,594.04,Too many ads,1
118,Gold Membership,41078.39,983.0882369234052,Poor Customer Service,1
119,Basic Membership,19189.84,0.0,Poor Website,1
120,No Membership,27353.61,372.36372989015337,No reason specified,1
121,Silver Membership,31758.27,410.1640144560166,Poor Website,0
122,Premium Membership,40309.83,0.0,Poor Website,0
123,Premium Membership,23031.59,415.1627040479133,Products always in Stock,0
124,Silver Membership,4873.35,611.11,Poor Product Quality,1
125,No Membership,20103.91,680.64,No reason specified,1
126,Gold Membership,20176.48,673.32,No reason specified,1
127,Silver Membership,49723.11,600.83,Poor Website,1
128,No Membership,5096.6,710.19,Poor Product Quality,1
129,Silver Membership,45746.77,644.89,No reason specified,1
130,Premium Membership,22607.95,290.98853288426966,Poor Product Quality,0
131,Silver Membership,33808.69,719.29,Poor Customer Service,1
132,Silver Membership,15768.49,688.96,No reason specified,1
133,Gold Membership,31631.59,614.28,No reason specified,1
134,Silver Membership,1889.17,747.94,No reason specified,0
135,Silver Membership,24382.38,180.50165807856607,Reasonable Price,0
136,No Membership,46567.91,512.442561220327,Poor Product Quality,1
137,Basic Membership,42853.98,0.0,Too many ads,1
138,Premium Membership,1021.41,762.75,No reason specified,0
139,Gold Membership,19815.94,474.703759535108,Poor Website,0
140,Premium Membership,40278.06,1047.4606080596184,Poor Customer Service,0
141,Silver Membership,43616.49,604.77,Poor Product Quality,1
142,Basic Membership,27092.36,701.73,Too many ads,1
143,Basic Membership,38456.57,522.42,No reason specified,1
144,Basic Membership,7342.75,692.02,Poor Product Quality,1
145,Silver Membership,35934.73,784.3,Poor Website,0
146,Platinum Membership,7133.18,745.8,Poor Customer Service,0
147,No Membership,29169.2,696.91,Too many ads,1
148,Silver Membership,26058.27,673.8,Poor Product Quality,1
149,No Membership,8161.25,0.0,Poor Product Quality,1
150,Premium Membership,16735.09,726.22,No reason specified,0
151,Basic Membership,28472.36,578.64,Too many ads,1
152,Premium Membership,1640.06,760.12,Too many ads,0
153,No Membership,42018.98,592.9,Poor Customer Service,1
154,Gold Membership,22301.42,657.35,Poor Product Quality,1
155,Silver Membership,3887.97,744.18,Poor Product Quality,0
156,Gold Membership,19365.81,400.36489120574765,No reason specified,0
157,Silver Membership,47458.95,787.14,Too many ads,0
158,No Membership,28869.31,652.97,Poor Product Quality,1
159,Basic Membership,11239.27,700.13,Poor Website,1
160,Silver Membership,21351.5,1030.9540156613275,No reason specified,0
161,Silver Membership,9241.15,276.59058678933576,Poor Customer Service,1
162,Basic Membership,46963.13,0.0,Poor Website,1
163,Basic Membership,14901.5,691.98,No reason specified,1
164,Silver Membership,1045.85,638.63,Too many ads,1
165,Premium Membership,95032.43,0.0,Quality Customer Care,0
166,No Membership,15883.49,663.41,Too many ads,1
167,No Membership,48657.08,588.73,Poor Website,1
168,Silver Membership,35493.36,622.53,Poor Website,1
169,Basic Membership,3390.37,654.5,Too many ads,1
170,Gold Membership,17887.2,664.99,Poor Customer Service,1
171,No Membership,45197.88,626.87,Poor Product Quality,1
172,Silver Membership,43546.86,1170.218545434646,Poor Product Quality,1
173,Silver Membership,42719.93,730.14,Poor Customer Service,0
174,Gold Membership,13011.17,684.8,No reason specified,1
175,No Membership,14966.6,951.2278803644728,Poor Website,1
176,Silver Membership,46077.14,628.13,Poor Customer Service,1
177,Platinum Membership,9040.62,712.2,Too many ads,0
178,Gold Membership,4445.84,0.0,Too many ads,1
179,Gold Membership,91517.65,805.93,Products always in Stock,0
180,Platinum Membership,42430.95,1147.035458084563,Poor Customer Service,0
181,Basic Membership,1407.8,575.49,Too many ads,1
182,Silver Membership,30912.04,677.25,No reason specified,1
183,Silver Membership,33561.12,686.49,No reason specified,1
184,Silver Membership,38466.24,714.77,Poor Website,0
185,Gold Membership,21299.74,688.73,No reason specified,1
186,Gold Membership,35962.5,710.8,Too many ads,0
187,Platinum Membership,11821.46,780.18,Too many ads,0
188,Gold Membership,13782.76,773.38,Quality Customer Care,0
189,Premium Membership,10863.2,797.66,No reason specified,0
190,Basic Membership,34883.68,668.62,Poor Product Quality,1
191,Silver Membership,39206.6,649.1,Poor Customer Service,1
192,Basic Membership,35255.88,610.33,Poor Product Quality,1
193,No Membership,23548.82,699.33,Poor Product Quality,1
194,Gold Membership,82013.33,825.06,Products always in Stock,0
195,Basic Membership,34848.69,659.52,Too many ads,1
196,Basic Membership,4127.08,1157.454611747205,Too many ads,1
197,Gold Membership,55838.17,786.57,Products always in Stock,0
198,Basic Membership,12983.72,606.74,Poor Website,1
199,Silver Membership,43496.36,783.19,Too many ads,0
200,Platinum Membership,31054.71,713.96,Poor Customer Service,0
201,No Membership,34976.54,660.33,Poor Product Quality,1
202,No Membership,33106.41,0.0,Too many ads,1
203,Basic Membership,43607.58,0.0,No reason specified,1
204,No Membership,48175.9,666.57,Too many ads,1
205,Platinum Membership,14328.91,705.32,Poor Customer Service,0
206,Gold Membership,31639.59,690.92,Poor Website,1
207,Premium Membership,12719.06,0.0,Too many ads,0
208,Basic Membership,12486.23,513.01,No reason specified,1
209,No Membership,3802.33,646.02,Poor Product Quality,1
210,Premium Membership,13227.37,794.16,Poor Website,0
211,Silver Membership,9417.24,788.7,No reason specified,0
212,Silver Membership,16281.5,752.97,No reason specified,0
213,No Membership,6174.25,700.28,Poor Website,1
214,Basic Membership,9758.12,612.46,Too many ads,1
215,Basic Membership,24238.65,0.0,Too many ads,1
216,Platinum Membership,42086.54,707.15,Poor Customer Service,0
217,Gold Membership,4990.66,670.02,Poor Product Quality,0
218,Basic Membership,31580.57,615.48,Poor Customer Service,1
219,Basic Membership,25288.13,500.04,Too many ads,1
220,Basic Membership,38253.42,506.09,Too many ads,1
221,Gold Membership,42865.7,734.19,Too many ads,0
222,Platinum Membership,34933.78,1134.1406166577874,No reason specified,0
223,No Membership,15225.49,615.36,Poor Customer Service,1
224,No Membership,46698.84,607.31,Poor Website,1
225,Gold Membership,19889.75,704.06,Poor Customer Service,0
226,Gold Membership,7433.08,759.49,Poor Customer Service,0
227,Platinum Membership,38113.14,1245.6999956156192,Poor Customer Service,0
228,No Membership,16271.18,639.08,No reason specified,1
229,Basic Membership,40204.24,685.44,Poor Product Quality,1
230,No Membership,28563.24,553.514460796652,Poor Customer Service,1
231,Premium Membership,43263.93,794.38,Poor Website,0
232,Gold Membership,6728.54,1001.1353671398632,Reasonable Price,0
233,No Membership,42666.23,567.24,Too many ads,1
234,Silver Membership,17844.16,743.07,Poor Product Quality,0
235,Gold Membership,27580.07,542.4280353962491,Too many ads,0
236,Gold Membership,24695.52,774.68,Products always in Stock,0
237,Silver Membership,23248.2,656.42,Poor Customer Service,1
238,No Membership,10594.49,662.24,Too many ads,1
239,Platinum Membership,32446.0,839.0,User Friendly Website,0
240,No Membership,34809.22,678.42,No reason specified,1
241,No Membership,24041.31,507.44,Poor Customer Service,1
242,No Membership,40290.97,574.99,Poor Website,1
243,Premium Membership,33047.8,794.6,No reason specified,0
244,Platinum Membership,39129.96,512.8167950065954,Too many ads,0
245,Premium Membership,21963.34,720.37,Poor Customer Service,0
246,Gold Membership,21627.21,784.75,Poor Website,0
247,Silver Membership,13825.73,702.15,Poor Customer Service,0
248,Platinum Membership,37313.36,502.0753817875088,Poor Customer Service,0
249,No Membership,40762.48,661.48,No reason specified,1
250,Silver Membership,3555.17,719.5,Poor Customer Service,0
251,No Membership,33800.91,677.76,Too many ads,1
252,Premium Membership,30188.47,753.79,No reason specified,0
253,Basic Membership,36395.86,1072.3195388410277,Too many ads,1
254,Gold Membership,29733.41,1216.1808705865217,Poor Website,0
255,Premium Membership,27953.55,758.46,Poor Website,0
256,Silver Membership,48545.69,0.0,Poor Customer Service,1
257,Gold Membership,28450.11,609.08,Poor Customer Service,1
258,Platinum Membership,47093.01,758.63,Poor Website,0
259,No Membership,7307.49,512.86,Poor Customer Service,1
260,No Membership,3170.58,638.57,Poor Product Quality,1
261,Platinum Membership,30467.35,770.99,Too many ads,0
262,Gold Membership,21370.36,0.0,Poor Website,1
263,Gold Membership,35641.51,606.04,Too many ads,1
264,No Membership,37994.53,693.35,Poor Website,1
265,No Membership,38031.18,1061.288726179689,No reason specified,1
266,No Membership,24525.45,639.57,Poor Website,1
267,Silver Membership,12549.93,765.97,Poor Product Quality,0
268,Platinum Membership,31182.89,734.08,Poor Customer Service,0
269,Silver Membership,75007.25,758.56,Quality Customer Care,0
270,Basic Membership,2043.12,669.53,Poor Website,1
271,Premium Membership,12713.56,760.62,Poor Product Quality,0
272,Basic Membership,18919.97,519.12,Poor Website,1
273,Silver Membership,43351.22,746.34,Too many ads,0
274,Basic Membership,31280.07,641.06,Poor Product Quality,1
275,Premium Membership,25607.71,790.23,Products always in Stock,0
276,Gold Membership,61566.19,752.61,Quality Customer Care,0
277,Basic Membership,3929.57,0.0,No reason specified,1
278,Platinum Membership,9184.31,1087.251747118436,Quality Customer Care,0
279,No Membership,18609.44,546.66,Poor Customer Service,1
280,Silver Membership,32511.8,785.02,Reasonable Price,0
281,Basic Membership,22462.95,0.0,Too many ads,1
282,Gold Membership,9141.37,635.62,Poor Customer Service,1
283,No Membership,32213.65,604.24,Too many ads,1
284,Premium Membership,56533.46,0.0,Reasonable Price,0
285,Platinum Membership,18488.68,758.56,No reason specified,0
286,Platinum Membership,94100.72,824.95,User Friendly Website,0
287,No Membership,14191.82,547.48,Poor Website,1
288,No Membership,7638.63,656.06,Poor Website,1
289,Silver Membership,19514.51,644.32,Poor Customer Service,1
290,No Membership,19482.19,683.8,No reason specified,1
291,No Membership,11790.9,637.4,Poor Product Quality,1
292,Silver Membership,28923.07,350.0875860293299,Poor Product Quality,1
293,Basic Membership,16863.84,378.2291936452752,Too many ads,1
294,Gold Membership,6261.11,0.0,Poor Customer Service,0
295,No Membership,46929.43,582.91,No reason specified,1
296,No Membership,3884.12,0.0,Poor Product Quality,1
297,Platinum Membership,67078.73,753.83,User Friendly Website,0
298,Silver Membership,45004.27,678.51,Too many ads,1
299,No Membership,13392.46,0.0,Poor Customer Service,1
300,Basic Membership,27239.59,648.07,Poor Product Quality,1
301,Platinum Membership,79055.3,820.82,User Friendly Website,0
302,No Membership,5589.77,635.61,Poor Website,1
303,Premium Membership,12838.38,0.0,Quality Customer Care,0
304,Platinum Membership,29967.55,792.85,Poor Product Quality,0
305,Basic Membership,12248.42,532.55,Poor Website,1
306,Silver Membership,24961.71,791.36,User Friendly Website,0
307,Silver Membership,66019.11,737.65,Reasonable Price,0
308,Premium Membership,8348.91,751.07,Too many ads,0
309,Platinum Membership,68913.92,1157.9291282390368,Quality Customer Care,0
310,No Membership,11376.4,568.41,Poor Customer Service,1
311,No Membership,18138.85,502.18,Poor Website,1
312,Silver Membership,15588.05,0.0,Poor Customer Service,0
313,Basic Membership,27995.54,665.82,Too many ads,1
314,Platinum Membership,86433.91,719.93,Reasonable Price,0
315,No Membership,15290.02,585.35,Too many ads,1
316,No Membership,44976.52,567.8,Poor Website,1
317,Basic Membership,47072.27,702.96,Poor Website,1
318,Gold Membership,12412.64,613.6,No reason specified,1
319,Basic Membership,41756.7,507.11,Poor Product Quality,1
320,Premium Membership,38525.32,740.37,Poor Customer Service,0
321,Gold Membership,5659.95,766.28,Poor Website,0
322,Silver Membership,7876.33,712.57,Too many ads,1
323,No Membership,10730.11,711.17,Poor Customer Service,1
324,Basic Membership,22206.52,988.1514308525078,Poor Product Quality,1
325,Premium Membership,35947.56,176.32870135426438,Too many ads,0
326,Premium Membership,16116.82,225.8228947840161,Poor Website,0
327,Basic Membership,29826.63,644.87,Poor Customer Service,1
328,Gold Membership,9998.23,640.74,No reason specified,1
329,Basic Membership,14589.09,646.25,Poor Product Quality,1
330,No Membership,26068.7,687.85,Poor Customer Service,1
331,Basic Membership,26770.94,601.55,Poor Product Quality,1
332,Gold Membership,9540.42,736.87,Poor Product Quality,0
333,No Membership,19503.15,567.42,Poor Customer Service,1
334,Silver Membership,25573.53,760.19,Poor Website,0
335,Basic Membership,8207.61,565.27,Poor Product Quality,1
336,No Membership,28329.56,256.1664290596059,No reason specified,1
337,Gold Membership,41680.88,755.41,Too many ads,0
338,Platinum Membership,30127.2,1180.8340493803023,No reason specified,0
339,Silver Membership,45275.9,790.69,Too many ads,0
340,Gold Membership,41706.3,771.01,Poor Customer Service,0
341,Gold Membership,45339.12,0.0,No reason specified,0
342,No Membership,37224.58,410.5715896954555,Too many ads,1
343,Gold Membership,40182.72,394.8698055243605,Poor Product Quality,0
344,Silver Membership,34366.03,0.0,Products always in Stock,0
345,Premium Membership,26798.41,773.44,Poor Product Quality,0
346,Gold Membership,84844.29,796.28,User Friendly Website,0
347,No Membership,28286.42,595.62,Poor Customer Service,1
348,Platinum Membership,39737.9,713.84,No reason specified,0
349,Basic Membership,36044.47,605.81,Poor Customer Service,1
350,Silver Membership,34413.68,638.56,Too many ads,1
351,Gold Membership,26983.31,753.37,Quality Customer Care,0
352,Gold Membership,87194.99,751.05,User Friendly Website,0
353,No Membership,13912.86,267.7050089476652,Poor Product Quality,1
354,Premium Membership,21356.57,0.0,Too many ads,0
355,Premium Membership,14991.62,711.89,User Friendly Website,0
356,Basic Membership,5424.73,537.34,No reason specified,1
357,Silver Membership,25677.25,1462.0347557791804,No reason specified,1
358,No Membership,46882.09,698.54,Poor Product Quality,1
359,Basic Membership,2032.48,524.22,Too many ads,1
360,Platinum Membership,63343.51,795.54,User Friendly Website,0
361,Premium Membership,29605.71,727.85,Poor Website,0
362,Basic Membership,32767.2,633.24,Too many ads,1
363,Silver Membership,46712.32,736.88,No reason specified,0
364,Gold Membership,12840.78,722.23,Poor Customer Service,0
365,Premium Membership,18317.78,0.0,Reasonable Price,0
366,No Membership,34239.79,690.39,Poor Product Quality,1
367,Platinum Membership,28260.03,703.0,Poor Website,0
368,Silver Membership,23271.04,232.55655296959003,Poor Website,1
369,Gold Membership,11814.84,0.0,No reason specified,0
370,Basic Membership,1317.35,603.53,Too many ads,1
371,No Membership,6795.93,698.5,No reason specified,1
372,No Membership,3002.45,623.69,No reason specified,1
373,No Membership,19244.92,608.64,Poor Customer Service,1
374,Basic Membership,40702.55,584.65,Poor Customer Service,1
375,Basic Membership,43379.03,0.0,Poor Website,1
376,No Membership,21856.54,671.63,Poor Website,1
377,No Membership,10250.52,669.55,Too many ads,1
378,Silver Membership,40711.87,725.66,Poor Customer Service,0
379,No Membership,1221.7,611.86,Poor Website,1
380,No Membership,21217.73,640.67,Poor Product Quality,1
381,Silver Membership,93940.35,791.67,User Friendly Website,0
382,Premium Membership,22955.39,786.28,No reason specified,0
383,No Membership,28118.1,676.68,No reason specified,1
384,Gold Membership,42176.04,719.97,Poor Customer Service,0
385,Basic Membership,15630.88,624.75,Poor Product Quality,1
386,No Membership,12406.7,516.83,Poor Customer Service,1
387,Gold Membership,43174.32,645.22,No reason specified,1
388,Silver Membership,9873.61,631.38,Poor Customer Service,1
389,Basic Membership,40986.28,1197.3651048949887,Poor Product Quality,1
390,Silver Membership,22016.41,775.03,No reason specified,0
391,Premium Membership,44232.19,812.34,Reasonable Price,0
392,Premium Membership,28911.5,275.6522962166036,Poor Website,0
393,Basic Membership,25179.58,558.16,Poor Customer Service,1
394,Basic Membership,14586.28,867.9423021206734,Poor Customer Service,1
395,Basic Membership,31190.01,541.14,Poor Product Quality,1
396,Gold Membership,30250.38,740.92,Poor Product Quality,0
397,Silver Membership,29877.27,0.0,Poor Website,1
398,No Membership,31861.91,659.31,Poor Product Quality,1
399,Basic Membership,26784.24,596.28,No reason specified,1
400,No Membership,15734.01,71.4726682848853,Poor Product Quality,1
401,Silver Membership,7151.68,679.71,Too many ads,1
402,Premium Membership,56492.4,761.58,Quality Customer Care,0
403,Premium Membership,90357.68,515.7987195850255,Products always in Stock,0
404,Basic Membership,22825.18,624.66,Poor Customer Service,1
405,Silver Membership,6660.48,719.88,Poor Product Quality,1
406,Silver Membership,28457.52,709.07,Too many ads,0
407,Basic Membership,12484.04,611.63,Too many ads,1
408,Gold Membership,28262.72,748.25,Poor Product Quality,0
409,No Membership,20474.31,513.28,Poor Website,1
410,No Membership,48780.61,552.91,Too many ads,1
411,Premium Membership,62372.57,784.85,Products always in Stock,0
412,Gold Membership,16737.51,0.0,Too many ads,0
413,Platinum Membership,61833.21,332.3898681455264,Products always in Stock,0
414,Silver Membership,93385.56,366.4547686186615,User Friendly Website,0
415,Gold Membership,44139.1,1024.9835024717077,Poor Website,0
416,Silver Membership,49177.82,702.86,Poor Customer Service,0
417,Silver Membership,8748.9,621.9,Poor Customer Service,1
418,Basic Membership,29822.89,215.4593867018591,Poor Customer Service,1
419,Silver Membership,35658.53,684.41,Poor Product Quality,1
420,Silver Membership,12736.69,751.94,Poor Website,0
421,No Membership,34614.42,642.93,No reason specified,1
422,Platinum Membership,63386.9,796.44,Products always in Stock,0
423,Basic Membership,22721.76,0.0,No reason specified,1
424,Basic Membership,43202.81,299.44427605508673,Poor Website,1
425,Silver Membership,36862.4,630.8,Poor Customer Service,1
426,Platinum Membership,7853.26,737.3,Poor Customer Service,0
427,Premium Membership,45229.11,778.08,Poor Customer Service,0
428,Basic Membership,32494.04,607.4,No reason specified,1
429,Premium Membership,34172.86,766.8,Poor Website,0
430,Basic Membership,32513.27,0.0,No reason specified,1
431,Premium Membership,49477.18,711.05,Poor Customer Service,0
432,Premium Membership,57790.42,757.71,Quality Customer Care,0
433,Silver Membership,66129.83,517.9348091470877,Quality Customer Care,0
434,No Membership,41771.96,537.33,Poor Product Quality,1
435,Basic Membership,6348.79,673.94,Poor Product Quality,1
436,Basic Membership,19849.18,616.15,Poor Product Quality,1
437,Basic Membership,9351.05,673.43,Poor Customer Service,1
438,Gold Membership,6188.2,692.76,Poor Website,1
439,No Membership,1825.86,535.86,Too many ads,1
440,No Membership,26382.01,581.47,No reason specified,1
441,Platinum Membership,93743.43,714.27,Products always in Stock,0
442,No Membership,44319.96,630.85,Poor Customer Service,1
443,Basic Membership,8743.09,143.8557289948869,Poor Customer Service,1
444,Basic Membership,17027.7,576.36,Poor Customer Service,1
445,No Membership,8001.35,822.2077021739944,Poor Product Quality,1
446,Basic Membership,23702.75,558.13,Poor Product Quality,1
447,Silver Membership,48741.94,0.0,Poor Customer Service,0
448,Silver Membership,39908.01,625.11,Too many ads,1
449,Basic Membership,28216.03,517.43,Poor Customer Service,1
450,Basic Membership,39366.99,657.03,No reason specified,1
451,Gold Membership,22497.51,654.55,No reason specified,1
452,Platinum Membership,24718.73,824.39,User Friendly Website,0
453,Silver Membership,38243.7,766.54,No reason specified,0
454,Basic Membership,32503.55,600.14,Poor Customer Service,1
455,Basic Membership,25866.24,573.13,Poor Product Quality,1
456,Gold Membership,42194.46,612.11,Poor Product Quality,1
457,Basic Membership,38008.9,699.94,Too many ads,1
458,No Membership,44048.08,600.88,No reason specified,1
459,Platinum Membership,79144.87,0.0,Reasonable Price,0
460,Premium Membership,19855.12,815.61,Products always in Stock,0
461,No Membership,25232.61,1066.737908613514,Poor Customer Service,1
462,Gold Membership,49396.87,605.6,Poor Website,1
463,No Membership,49659.84,654.48,Too many ads,1
464,Basic Membership,22725.18,617.39,Poor Customer Service,1
465,Silver Membership,21255.55,629.51,Poor Product Quality,1
466,Silver Membership,11375.32,641.87,Poor Product Quality,1
467,No Membership,8179.27,158.9924740452641,No reason specified,1
468,No Membership,38823.62,0.0,Poor Product Quality,1
469,No Membership,15965.42,676.5,Poor Product Quality,1
470,Silver Membership,46345.71,783.82,No reason specified,0
471,Gold Membership,30222.99,0.0,Poor Product Quality,0
472,Silver Membership,42227.77,613.85,Too many ads,1
473,Silver Membership,43336.45,747.12,No reason specified,0
474,Platinum Membership,39530.8,773.58,User Friendly Website,0
475,No Membership,25364.6,573.38,Too many ads,1
476,Premium Membership,15976.36,733.53,Too many ads,0
477,Platinum Membership,92169.95,841.21,Quality Customer Care,0
478,Premium Membership,6423.85,713.74,Too many ads,0
479,Platinum Membership,8347.45,836.67,User Friendly Website,0
480,Platinum Membership,29674.44,522.0884017891938,Poor Website,0
481,No Membership,8402.27,547.16,Poor Customer Service,1
482,Gold Membership,23039.89,751.47,Poor Product Quality,0
483,No Membership,22653.73,717.18,Poor Customer Service,1
484,Gold Membership,11842.54,771.06,Poor Product Quality,0
485,No Membership,9332.78,0.0,Poor Customer Service,1
486,Premium Membership,16460.0,847.96,Products always in Stock,0
487,No Membership,43135.47,694.64,Poor Website,1
488,Basic Membership,45882.07,709.36,Poor Product Quality,1
489,Basic Membership,22271.92,711.26,No reason specified,1
490,Gold Membership,27387.95,1255.872905916122,Too many ads,0
491,Platinum Membership,27166.26,794.26,Quality Customer Care,0
492,Gold Membership,31570.47,697.08,Poor Product Quality,1
493,Basic Membership,47834.42,690.46,Poor Website,1
494,Platinum Membership,48507.11,706.87,Poor Website,0
495,Premium Membership,44340.03,808.7,Reasonable Price,0
496,No Membership,49868.91,529.67,Poor Website,1
497,Premium Membership,13620.62,0.0,Poor Website,0
498,Premium Membership,29029.69,772.85,Quality Customer Care,0
499,Gold Membership,10754.86,604.67,Too many ads,1
500,Gold Membership,44939.55,1096.4351975453324,Too many ads,1
501,Basic Membership,4972.65,507.2,No reason specified,1
502,Premium Membership,43236.29,818.16,Products always in Stock,0
503,Gold Membership,27439.57,1383.2317729837605,Products always in Stock,0
504,Platinum Membership,52410.78,795.33,Quality Customer Care,0
